date, PerCapita ,  Rate 
1960,50.305,
1961,51.8112,2.99
1962,55.0257,6.2
1963,46.8614,-14.84
1964,46.0034,-1.83
1965,67.0075,45.66
1966,81.1644,21.13
1967,73.9679,-8.87
1968,66.5489,-10.03
1969,66.6384,0.13
1970,71.7186,7.62
1971,71.6299,-0.12
1972,81.3866,13.62
1973,75.637,-7.06
1974,92.7522,22.63
1975,117.4177,26.59
1976,105.8928,-9.82
1977,98.542,-6.94
1978,111.8067,13.46
1979,126.1333,12.81
1980,129.5861,2.74
1981,148.0803,14.27
1982,152.2897,2.84
1983,151.9926,-0.2
1984,156.6507,3.06
1985,155.4079,-0.79
1986,165.3619,6.41
1987,167.8,1.47
1988,193.4997,15.32
1989,191.1208,-1.23
1990,191.8789,0.4
1991,202.0806,5.32
1992,170.5867,-15.58
1993,178.626,4.71
1994,193.2795,8.2
1995,203.9808,5.54
1996,204.6858,0.35
1997,217.788,6.4
1998,210.6115,-3.3
1999,214.1068,1.66
2000,229.4903,7.18
2001,246.7256,7.51
2002,244.7208,-0.81
2003,252.4024,3.14
2004,286.1576,13.37
2005,315.8056,10.36
2006,346.9453,9.86
2007,391.3801,12.81
2008,470.4555,20.2
2009,478.1732,1.64
2010,592.4011,23.89
2011,699.4293,18.07
2012,698.4665,-0.14
2013,715.9237,2.5
2014,743.4134,3.84
2015,792.5529,6.61
2016,777.1476,-1.94
2017,911.4443,17.28
2018,1038.6516,13.96
2019,1071.0508,3.12
